location index,lat,lon
0,-38.10061739,145.4883256
1,-38.06260449,145.3674737
2,-38.35782206,144.7571346
3,-38.35518626,144.7527764
4,-38.35195016,144.9189121
5,-38.35883054,144.893448
6,-38.36279773,144.8795499
7,-38.36627959,144.8030569
8,-38.36480409,144.7964164
9,-38.37085143,144.83762
10,-38.3775118,144.8890047
11,-38.36339344,144.8770742
12,-37.78730624,144.9216184
13,-37.7893969,144.9422923
14,-37.78770826,144.9258717
15,-37.78807331,144.9292223
16,-37.78900814,144.9391397
17,-37.78933386,144.942165
18,-37.78937027,144.9423542
19,-37.83525117,144.9345042
20,-37.78897348,144.9388386
21,-37.89571794,145.2936195
22,-37.80435274,145.0376943
23,-37.83257778,144.9532751
24,-37.85652016,145.2678593
25,-37.85962155,145.2672744
26,-37.80101901,144.9695489
27,-37.80085244,144.9680216
28,-37.81333714,145.3336477
29,-38.14729632,145.1247928
30,-37.78182429,145.2932755
31,-37.7760142,145.2943605
32,-37.91387237,145.1212381
33,-38.06539186,145.2001646
34,-37.83522313,144.9240671
35,-37.79112941,144.9856797
36,-37.92151599,145.1384033
37,-37.84117507,145.0092891
38,-37.52666619,144.9476328
39,-37.74403322,144.7006775
40,-37.75309793,144.7038004
41,-37.76411441,144.9230352
42,-37.73312671,144.921421
43,-37.68806115,145.1426953
44,-37.69164902,145.0910103
45,-37.70454566,145.1024306
46,-37.87249457,145.1508606
47,-37.8723616,145.1497434
48,-37.89151449,145.1072612
49,-37.88806797,145.107924
50,-37.89738945,145.1106779
51,-37.90483435,145.1737635
52,-37.83457724,145.2030817
53,-37.8331026,145.1592935
54,-37.84347967,145.206408
55,-37.78590958,144.8590864
56,-37.78597424,144.8589849
57,-37.78675402,144.8320191
58,-37.79814125,144.84982
59,-37.79696386,144.8394821
60,-37.77637273,144.8233056
61,-37.77648982,144.8232059
62,-37.79910769,144.8921474
63,-37.80040253,144.8620159
64,-38.02220571,145.0986231
65,-38.02577204,145.1010098
66,-37.91319893,145.1251516
67,-38.05304493,145.2078452
68,-37.96102532,145.1505452
69,-37.95436878,145.1802303
70,-37.91301607,145.125098
71,-37.90459394,145.1705733
72,-37.9377143,145.1928443
73,-38.01271254,145.1591823
74,-37.95286653,145.0128835
75,-37.95363852,145.0194502
76,-37.97987323,145.0340722
77,-37.97898827,145.0342416
78,-37.98001952,145.0530055
79,-37.98538483,145.051979
80,-37.99612714,145.0836316
81,-37.64331048,145.0263796
82,-37.64372251,145.0263034
83,-38.3691369,144.8894494
84,-38.37093223,144.8364508
85,-38.32945382,144.9857068
86,-38.37950785,144.7951403
87,-38.37369944,144.8138504
88,-37.78844996,144.933782
89,-37.79368426,145.0070023
90,-37.99872543,145.0837959
91,-37.6892085,144.6051814
92,-37.97831932,145.0721078
93,-37.84828193,145.0766606
94,-37.85605619,145.1800689
95,-37.82730955,145.0252192
96,-37.63769615,144.8055277
97,-37.63744494,144.805157
98,-37.82355237,145.297222
99,-37.82340147,145.2972639
100,-37.65967343,145.0304494
101,-37.81102797,144.8177446
102,-37.81102234,144.8178978
103,-37.69555982,145.0169282
104,-37.75887032,144.7474383
105,-37.75643896,144.7399432
106,-37.81582668,145.3255885
107,-37.71498982,145.0079041
108,-37.71898973,145.1462133
109,-37.72970881,145.005446
110,-37.72974724,145.0054383
111,-37.72849988,145.054677
112,-37.72768626,145.0527796
113,-37.7409332,145.0369598
114,-37.74150261,145.0409676
115,-37.76532644,145.0463057
116,-37.76450268,145.0467828
117,-37.77541135,144.9898034
118,-37.77442431,144.990358
119,-37.81808894,145.1647415
120,-37.87597744,145.1818465
121,-37.80053104,144.8892021
122,-37.80556425,144.9058164
123,-37.7927167,144.8628631
124,-37.79205807,144.8575084
125,-37.79893589,144.8922658
126,-37.79897905,144.8932008
127,-37.80221409,144.8867077
128,-37.80219997,144.8865301
129,-37.80548756,144.9052011
130,-37.80558646,144.861566
131,-37.80517801,144.8616324
132,-37.78971929,144.8314076
133,-37.7887659,144.831691
134,-37.72784168,144.7938963
135,-38.0109227,145.1407151
136,-37.95938486,145.2068057
137,-37.9614232,145.2064279
138,-38.00674788,145.086516
139,-38.00659344,145.0863907
140,-37.99210487,145.0820064
141,-37.9826156,145.0711904
142,-37.98815769,145.0703626
143,-37.64977799,145.0040173
144,-37.65500672,145.031288
145,-37.6170535,145.1363024
146,-37.61998432,145.1357755
147,-37.79407435,145.2806808
148,-37.77496071,145.3632756
149,-37.81143076,145.3387947
150,-37.76892783,145.4125337
